Noise_Ratio,R2_Direct_PySR,R2_MLP,R2_Hybrid_PySR
0,0.9929271472544255,0.9977217230767675,0.9957019588245433
0.1,0.9932108565504134,0.9956128796721949,0.9941744485921097
0.2,0.9844046260143844,0.9944673234660589,0.9896081972986649
0.3,0.9737000371208138,0.9950735833804002,0.9955602769178935
0.35,0.9618145146149685,0.9953170442960899,0.994699639069579
0.4,0.9647994523671282,0.9947203002835477,0.9954951986419346
0.45,0.9616791668228388,0.9941624302711352,0.9946805978297685
0.5,0.7447856636333011,0.9938100026706884,0.9921252556883075
0.55,0.7450705893817271,0.993601269260547,0.9951471054024473
0.6,0.7453908675250902,0.9926255651084169,0.9918634913127888
0.65,0.7457096794875328,0.993245960941033,0.9925090124051827
0.7,0.7459977524542556,0.9901819585486676,0.9876954982159374
0.75,0.7461378665387044,0.9918717621309506,0.9928933324863415
0.8,0.7460613458320527,0.9911742395497724,0.9912831311648497
0.9,0.7448282815666099,0.9891816957327041,0.991142595183345
1,0.7415745309585364,0.985194042986836,0.9850216438649956
1.1,0.7358067562135917,0.9596119491034666,0.9605402109993143
1.2,0.7268584080683596,0.9514644932707096,0.9595822676094112
1.3,0.714368154149648,0.9313590955347317,0.9451465918447494
1.4,0.6978908693398507,0.9098799200146833,0.9221807044951129
1.5,0.6771876021170218,0.8852164429464826,0.8974535444379208
1.6,0.6522900651118146,0.8572779272155235,0.8625051763769944
1.7,0.6227095457529128,0.8157637730583367,0.8322493793652435
1.8,0.5886339887146845,0.7783653347376156,0.7873987074997945
1.9,0.5500126511084908,0.7252843824500113,0.7221489096761546
2,0.5068206995153856,0.6778904980291168,0.6997868105891509
